"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"003","28245","EECE 391 (3, 3)","Stu Teaching, Early Childhood","T","4:35 PM - 7:05 PM",", ","KY 323","0","10","In-Person",
"007","28241","EECE 391 (3, 3)","Stu Teaching, Early Childhood","T","4:35 PM - 7:05 PM",", ","KY 427","0","10","In-Person",
"006","28242","EECE 391 (3, 3)","Stu Teaching, Early Childhood","T","4:35 PM - 7:05 PM",", ","KY 425","0","10","In-Person",
"005","28243","EECE 391 (3, 3)","Stu Teaching, Early Childhood","T","4:35 PM - 7:05 PM",", ","KY 423","0","10","In-Person",
"004","28244","EECE 391 (3, 3)","Stu Teaching, Early Childhood","T","4:35 PM - 7:05 PM",", ","KY 271","0","10","In-Person",
"004","29247","EECE 520 (3, 3)","Lang Dev &amp; Emerg Literacy","T","7:15 PM - 9:45 PM",", ","PH 018","2","20","In-Person",
"001","29250","EECE 520 (3, 3)","Lang Dev &amp; Emerg Literacy","T","4:35 PM - 7:05 PM",", ","PH 018","2","20","In-Person",
"002","29249","EECE 520 (3, 3)","Lang Dev &amp; Emerg Literacy","M","7:15 PM - 9:45 PM",", ","PH 013","0","20","In-Person",
"003","29248","EECE 520 (3, 3)","Lang Dev &amp; Emerg Literacy","M","4:35 PM - 7:05 PM",", ","PH 013","1","20","In-Person",
"001","28563","EECE 555 (3, 3)","Science In Element School","T","4:35 PM - 7:05 PM","Shady, Ashraf","PH 013","3","20","In-Person",
"002","28562","EECE 555 (3, 3)","Science In Element School","T","7:15 PM - 9:45 PM","Shady, Ashraf","PH 013","2","20","In-Person",
